customer_id,age,gender,tenure,usage_frequency,support_calls,payment_delay,subscription_type,contract_length,total_spend,last_interaction,churn,customer_feedback
433001,52,Male,9,5,1,22,Standard,Quarterly,805.27,12,1,Generated feedback 0
433002,59,Male,20,1,4,10,Standard,Quarterly,606.58,17,1,Generated feedback 1
433003,31,Male,32,8,4,17,Standard,Annual,917.22,25,1,Generated feedback 2
433004,40,Female,2,3,2,5,Basic,Monthly,356.63,5,0,Generated feedback 3
433005,54,Male,17,8,9,8,Basic,Monthly,675.9,21,0,Generated feedback 4
433006,35,Male,27,3,5,7,Premium,Monthly,978.1,25,0,Generated feedback 5
433007,29,Female,12,9,7,4,Basic,Monthly,292.43,29,1,Generated feedback 6
433008,59,Female,2,2,8,21,Standard,Quarterly,439.55,9,1,Generated feedback 7
433009,23,Male,6,4,8,12,Premium,Annual,633.29,26,0,Generated feedback 8
433010,53,Male,9,3,8,15,Basic,Monthly,800.93,25,1,Generated feedback 9
433011,46,Female,27,7,5,1,Standard,Quarterly,918.72,11,1,Generated feedback 10
433012,20,Female,33,8,0,25,Basic,Quarterly,838.1,20,1,Generated feedback 11
433013,51,Male,14,5,2,2,Standard,Monthly,671.72,8,0,Generated feedback 12
433014,62,Female,12,4,4,15,Standard,Monthly,772.23,1,0,Generated feedback 13
433015,29,Male,17,9,1,0,Premium,Annual,94.48,24,0,Generated feedback 14
433016,32,Male,35,6,7,22,Standard,Quarterly,240.34,11,0,Generated feedback 15
433017,52,Male,17,2,7,20,Standard,Quarterly,611.19,21,1,Generated feedback 16
433018,31,Female,30,2,7,24,Standard,Monthly,968.62,2,0,Generated feedback 17
433019,29,Female,22,2,8,2,Basic,Annual,863.2,18,1,Generated feedback 18
433020,56,Male,30,1,4,18,Standard,Quarterly,52.74,27,1,Generated feedback 19
433021,59,Male,3,6,3,29,Premium,Monthly,254.14,28,1,Generated feedback 20
433022,47,Female,18,7,7,6,Standard,Quarterly,56.65,10,0,Generated feedback 21
433023,20,Male,31,9,0,22,Basic,Annual,616.94,25,1,Generated feedback 22
433024,59,Female,30,4,0,7,Standard,Quarterly,479.27,6,1,Generated feedback 23
433025,49,Male,12,2,2,17,Premium,Annual,759.49,28,0,Generated feedback 24
433026,65,Female,18,1,8,23,Basic,Annual,807.81,10,0,Generated feedback 25
