customer_id,age,gender,tenure,usage_frequency,support_calls,payment_delay,subscription_type,contract_length,total_spend,last_interaction,churn,customer_feedback
1,52,Male,30,2,3,20,Premium,Monthly,563.87,14,1,Generated feedback 0
2,24,Female,10,3,1,27,Basic,Annual,191.61,8,1,Generated feedback 1
3,32,Female,9,5,3,17,Standard,Monthly,853.87,2,0,Generated feedback 2
4,55,Female,10,1,1,8,Basic,Annual,643.14,23,1,Generated feedback 3
5,69,Male,16,6,6,0,Basic,Monthly,972.12,7,1,Generated feedback 4
6,68,Male,7,6,2,4,Premium,Quarterly,447.46,12,0,Generated feedback 5
7,67,Female,11,8,5,5,Premium,Quarterly,82.85,18,0,Generated feedback 6
8,52,Male,10,5,4,4,Premium,Quarterly,363.75,10,0,Generated feedback 7
9,46,Male,19,9,2,11,Standard,Annual,861.57,19,1,Generated feedback 8
10,23,Female,27,7,7,0,Premium,Annual,549.68,19,0,Generated feedback 9
11,26,Male,4,2,1,0,Basic,Monthly,459.53,26,1,Generated feedback 10
12,35,Male,18,5,5,14,Standard,Annual,627.38,10,0,Generated feedback 11
13,68,Female,21,4,6,12,Premium,Quarterly,116.32,16,1,Generated feedback 12
14,30,Female,19,6,9,22,Standard,Annual,683.72,9,0,Generated feedback 13
15,68,Male,31,5,8,12,Basic,Quarterly,543.21,18,1,Generated feedback 14
16,54,Female,33,7,4,10,Premium,Annual,736.79,21,0,Generated feedback 15
17,26,Female,30,4,3,9,Standard,Annual,574.81,15,0,Generated feedback 16
18,65,Male,33,1,6,13,Standard,Quarterly,511.59,4,1,Generated feedback 17
19,67,Male,28,3,7,24,Standard,Quarterly,520.1,13,0,Generated feedback 18
20,59,Male,24,3,5,3,Basic,Quarterly,820.35,28,1,Generated feedback 19
21,31,Male,10,6,9,19,Premium,Quarterly,505.44,28,0,Generated feedback 20
22,48,Female,18,1,3,11,Premium,Quarterly,210.36,18,0,Generated feedback 21
23,59,Male,30,8,0,8,Standard,Annual,204.08,26,0,Generated feedback 22
24,56,Female,11,2,3,1,Premium,Monthly,954.83,28,0,Generated feedback 23
25,61,Female,15,8,2,6,Basic,Quarterly,890.91,24,1,Generated feedback 24
26,48,Male,31,9,4,11,Basic,Monthly,852.04,20,0,Generated feedback 25
27,42,Female,9,9,2,24,Basic,Annual,473.4,13,1,Generated feedback 26
28,69,Male,9,9,1,19,Standard,Annual,332.64,23,1,Generated feedback 27
29,37,Male,11,4,2,6,Basic,Quarterly,561.59,27,1,Generated feedback 28
30,51,Male,3,1,7,14,Basic,Annual,812.89,26,1,Generated feedback 29
31,49,Female,16,9,1,27,Premium,Monthly,803.39,2,1,Generated feedback 30
32,42,Female,6,6,3,28,Basic,Annual,865.77,11,1,Generated feedback 31
33,34,Male,9,8,8,11,Standard,Monthly,179.17,13,1,Generated feedback 32
34,32,Male,24,8,6,20,Basic,Annual,868.27,11,0,Generated feedback 33
35,50,Female,2,8,8,14,Basic,Annual,353.97,29,0,Generated feedback 34
36,64,Female,5,5,0,10,Basic,Annual,545.76,16,0,Generated feedback 35
37,49,Female,2,2,9,15,Premium,Quarterly,730.79,18,1,Generated feedback 36
38,38,Male,4,8,9,25,Basic,Annual,878.21,25,0,Generated feedback 37
39,50,Female,26,2,3,3,Premium,Monthly,895.5,22,1,Generated feedback 38
40,26,Male,12,8,1,25,Premium,Monthly,363.52,23,0,Generated feedback 39
41,58,Male,28,3,1,7,Standard,Monthly,714.48,29,1,Generated feedback 40
42,41,Male,9,8,9,16,Standard,Quarterly,795.58,8,1,Generated feedback 41
43,62,Male,27,6,8,21,Basic,Monthly,212.99,17,1,Generated feedback 42
44,19,Male,28,5,1,4,Premium,Quarterly,750.0,10,0,Generated feedback 43
45,21,Female,22,2,4,2,Basic,Annual,440.67,4,0,Generated feedback 44
46,58,Male,34,3,1,11,Premium,Quarterly,358.27,16,1,Generated feedback 45
47,49,Male,3,9,6,5,Standard,Quarterly,204.93,21,0,Generated feedback 46
48,56,Male,22,3,2,8,Standard,Annual,639.3,21,1,Generated feedback 47
49,39,Female,32,4,2,4,Basic,Annual,751.57,20,0,Generated feedback 48
50,22,Male,6,9,9,19,Standard,Quarterly,827.16,6,0,Generated feedback 49
